time,current_q,ref_q_current,predicted_ca_cb_at_tau,true_ca_cb_at_tau,selected_tau,r2_scores
0.0,[0.0],[0.0],"[226.314680472879, 112.4315083271077]","[170.3182453233493, 169.6817546766507]",1,{'1': -inf}
0.03333333333,[0.0],[0.0],"[226.40853989282976, 112.45637458433163]","[171.13293116612073, 168.86706883387927]",1,{'1': -4566.674397213255}
0.06666666666,[0.0],[0.0],"[226.8165146919315, 112.17808267606091]","[172.444188886883, 167.555811113117]",1,{'1': -1267.7944794509983}
0.09999999999,[0.0],[0.0],"[227.1243455984773, 111.93580855850996]","[174.25214984420475, 165.74785015579522]",1,{'1': -477.87839716178934}
0.13333333332,[0.0],[0.0],"[227.7246030184261, 111.44905814252031]","[176.5569453966546, 163.44305460334536]",1,{'1': -215.901374407396}
0.16666666665,[0.0],[0.0],"[244.35932772420642, 96.02100159620998]","[179.3587069028013, 160.6412930971987]",1,{'1': -121.06035433747593}
0.19999999998,[0.0],[0.0],"[223.11190937054693, 107.93088557329631]","[182.65756572121336, 157.34243427878664]",1,{'1': -65.66837620453376}
0.23333333331,[0.0],[0.0],"[203.52615401555485, 133.13501715920432]","[186.27170206251225, 153.72829793748775]",1,{'1': -35.90805387503789}
0.26666666664,[0.0],[0.0],"[220.57752862629542, 113.40843895520763]","[189.88618387648108, 150.11381612351892]",1,{'1': -22.132750292906}
0.29999999997,[0.0],[0.0],"[118.14405602463772, 201.02835993498965]","[193.50162110863832, 146.49837889136168]",1,{'1': -16.605046736373346}
0.3333333333,[0.0],[0.0],"[147.71677418848128, 182.8958771849364]","[197.11801375898395, 142.88198624101605]",1,{'1': -11.77956968496526}
0.36666666662999997,[0.0],[0.0],"[200.73810111627228, 139.10565957863048]","[200.735361827518, 139.26463817248202]",1,{'1': -8.017343948032606}
0.39999999996,[0.0],[0.0],"[197.0684318249407, 135.95653152360904]","[204.3536653142404, 135.6463346857596]",1,{'1': -5.598700469782851}
0.43333333329,[0.0],[0.0],"[187.7096044469929, 145.88086878915007]","[207.9729242191512, 132.02707578084878]",1,{'1': -4.018567049984402}
0.46666666662,[0.0],[0.0],"[237.89434001136476, 90.59915220006206]","[211.5103895565048, 128.48961044349522]",1,{'1': -3.0149148085033968}
0.49999999995,[0.0],[0.0],"[208.9727146183126, 107.68704247492241]","[214.5740532252044, 125.4259467747956]",1,{'1': -2.1969640612483157}
0.53333333328,[0.0069101762578872],[0.0069101762578872],"[194.45920543849508, 113.42991171975001]","[216.54940773218004, 123.45059226781996]",1,{'1': -1.6304049828611453}
0.56666666661,[0.3329524809138804],[0.3329524809138804],"[216.25250207497984, 93.78556816589789]","[215.72713411963085, 124.27286588036914]",1,{'1': -1.265500088271824}
0.59999999994,[2.07295883127691],[2.07295883127691],"[242.29927282114357, 104.50143093530585]","[210.596503139139, 129.403496860861]",1,{'1': -1.0763912780041718}
0.63333333327,[6.519022471753004],[6.519022471753004],"[223.9840407784846, 106.68887980697616]","[206.23547259716693, 133.76452740283307]",1,{'1': -0.9449894642407237}
0.6666666666,[10.271306465610431],[10.271306465610431],"[215.58659453148593, 116.5986445486562]","[201.1792555869967, 138.82074441300327]",1,{'1': -0.8581340385196137}
0.69999999993,[14.15708651392258],[14.15708651392258],"[207.8280949922134, 129.7044273886319]","[193.59667252694155, 146.40332747305845]",1,{'1': -0.8147237155835465}
0.7333333332599999,[19.480985585705877],[19.480985585705877],"[210.8812012054841, 132.03958855281292]","[187.9889533462259, 152.0110466537741]",1,{'1': -0.807965201310288}
0.7666666665899999,[23.453555312052977],[23.453555312052977],"[217.87643759408502, 123.41068018017312]","[182.77285916892, 157.22714083108]",1,{'1': -0.8555242175241482}
0.79999999992,[27.281196373747395],[27.281196373747395],"[230.41398986864118, 103.2937934788955]","[176.47520599247756, 163.52479400752242]",1,{'1': -1.025089453795239}
0.83333333325,[31.97926945174926],[31.97926945174926],"[175.64201292397343, 159.00129059322867]","[172.43697119685888, 167.56302880314112]",1,{'1': -1.026670528328395}
0.86666666658,[35.20123388651601],[35.20123388651601],"[149.27751183576018, 192.87196633669174]","[169.05208190243297, 170.94791809756703]",1,{'1': -1.0497273312781603}
0.89999999991,[38.08757355406146],[38.08757355406146],"[156.10820849170682, 177.02780816242674]","[165.63420521603572, 174.36579478396425]",1,{'1': -1.0502499204531528}
0.93333333324,[41.15255920308765],[41.15255920308765],"[120.4599188637535, 222.4865445313956]","[164.30587466140776, 175.69412533859222]",1,{'1': -1.1556508970325563}
0.96666666657,[42.83230467955102],[42.83230467955102],"[118.76250102653141, 222.16258529828107]","[163.66720526020188, 176.33279473979812]",1,{'1': -1.2598993713240083}
0.9999999999,[44.11728388580818],[44.11728388580818],"[171.08674392830437, 175.8044946303595]","[163.58560130445326, 176.4143986955467]",1,{'1': -1.256488343529559}
1.0333333332299999,[45.15965052916645],[45.15965052916645],"[178.08127885405844, 162.52509475230266]","[164.79990704452354, 175.20009295547644]",1,{'1': -1.2621513906737443}
1.06666666656,[45.37394212432521],[45.37394212432521],"[198.39602628935793, 129.35432780821577]","[166.44463664574835, 173.5553633542516]",1,{'1': -1.3389393070623634}
1.09999999989,[45.34659976189797],[45.34659976189797],"[174.8361268454631, 157.32667442527017]","[168.30153437094415, 171.69846562905582]",1,{'1': -1.345143513574473}
1.13333333322,[45.238533820376],[45.238533820376],"[161.38980660741865, 172.5221511744505]","[170.09473565889954, 169.90526434110046]",1,{'1': -1.3473167659244583}
1.16666666655,[45.1746557783892],[45.1746557783892],"[219.6345719855689, 122.26402825234544]","[171.7980116325675, 168.2019883674325]",1,{'1': -1.4626537479424018}
1.19999999988,[45.16966458600201],[45.16966458600201],"[161.75030036336997, 187.62354888702788]","[173.60280283521223, 166.39719716478777]",1,{'1': -1.4765134966103188}
1.23333333321,[45.11795968028891],[45.11795968028891],"[170.14016625985482, 180.79740940950916]","[175.40635520162107, 164.59364479837893]",1,{'1': -1.4803340294064071}
1.26666666654,[45.04879960929616],[45.04879960929616],"[166.565032156642, 184.14476270738894]","[177.06883722064745, 162.93116277935252]",1,{'1': -1.488516010447492}
1.29999999987,[45.06757033975458],[45.06757033975458],"[154.1768193070812, 195.14633289543093]","[178.7312138106918, 161.2687861893082]",1,{'1': -1.5242775885448134}
1.3333333332,[45.10439116957847],[45.10439116957847],"[154.26410879832787, 191.37385564886725]","[180.4762928145161, 159.52370718548386]",1,{'1': -1.5540327598313226}
1.36666666653,[45.08956759167216],[45.08956759167216],"[191.84056238433135, 150.22635808837373]","[182.18680204969837, 157.81319795030163]",1,{'1': -1.53838940477912}
1.39999999986,[45.08311408043863],[45.08311408043863],"[166.30718470066972, 171.75707473217867]","[183.85155728710023, 156.1484427128997]",1,{'1': -1.5276198950947655}
